id,user_id,favorite,title,slug,phone,phone_owner,website,screenshot_file_id,favicon_file_id,description,primary_image_url,address_line_1,address_line_2,city,state,postal_code,country,latitude,longitude,employees,yelp_url,linkedin_url,created_at,updated_at
1,,1,Millcreek Veterinary Clinic,millcreek-veterinary-clinic,(801) 487-7791,(435) 649-0710,http://millcreekveterinaryclinic.com,1,122,,,2361 E 3300th S,,Salt Lake City,UT,84109,US,40.70012520,-111.82306800,10 to 19,https://www.yelp.com/biz/millcreek-veterinary-clinic-salt-lake-city,https://linkedin.com/company/millcreek-veterinary-clinic,2024-05-03 18:42:45,2024-05-17 21:18:55
2,,1,Petcare Animal Hospital,petcare-animal-hospital,(801) 302-9061,(801) 634-1971,http://www.petcareanimalhospitalutah.com,2,123,,,1173 W S Jordan Pkwy,,South Jordan,UT,84095,US,40.56138840,-111.92633820,20 to 49,https://www.yelp.com/biz/petcare-animal-hospital-south-jordan,https://linkedin.com/company/petcare-animal-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
3,,0,The Travel Vet,the-travel-vet,(801) 989-4331,,http://www.thetravelvet.com,3,124,,,,,Farmington,UT,84025,US,40.97814600,-111.88764500,,https://www.yelp.com/biz/the-travel-vet-farmington,https://linkedin.com/company/travel-vet,2024-05-03 18:42:45,2024-05-17 21:18:55
4,,0,Town & Country Veterinary Hospital,town-amp-country-veterinary-hospital,(801) 328-8543,(415) 857-0651,http://www.tcvh.com,4,125,,,1220 S State St,,Salt Lake City,UT,84111,US,40.74229850,-111.88861580,5 to 9,https://www.yelp.com/biz/town-and-country-veterinary-hospital-salt-lake-city,https://linkedin.com/company/tcvh,2024-05-03 18:42:45,2024-05-17 21:18:55
5,,0,Neighborhood Veterinary Care,neighborhood-veterinary-care,(801) 281-8387,,https://www.nvetcare.com,5,126,,,887 E Vine St,,Murray,UT,84107,US,40.65444350,-111.87087590,10 to 19,https://www.yelp.com/biz/neighborhood-veterinary-care-murray,https://linkedin.com/company/neighborhood-veterinary-care-utah,2024-05-03 18:42:45,2024-05-17 21:18:55
7,,0,Major Street Pet Services,major-street-pet-services,(801) 487-2814,,http://www.majorstreetpetservices.com,7,128,,,1727 Major St,,Salt Lake City,UT,84115,US,40.73286070,-111.88934950,,https://www.yelp.com/biz/major-street-pet-services-salt-lake-city,https://linkedin.com/company/sploot-vet,2024-05-03 18:42:45,2024-05-17 21:18:55
8,,0,University Veterinary Hospital,university-veterinary-hospital-amp-diagnostic-center,(801) 596-9005,,https://www.uvhdc.com,8,129,,,952 E 900th S,,Salt Lake City,UT,84105,US,40.74956740,-111.86370950,20 to 49,https://www.yelp.com/biz/university-veterinary-hospital-and-diagnostic-center-salt-lake-city,https://linkedin.com/company/uvhvets,2024-05-03 18:42:45,2024-05-17 21:18:55
9,,0,Holladay Veterinary Hospital,holladay-veterinary-hospital,(801) 272-5557,(801) 278-2859,https://www.holladayveterinaryhospital.com,9,130,,,4732 S Highland Dr,,Salt Lake City,UT,84117,US,40.66710630,-111.84002060,20 to 49,https://www.yelp.com/biz/holladay-veterinary-hospital-salt-lake-city-2,https://linkedin.com/company/holladay-veterinary-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
11,,0,Pet Loss At Home,pet-loss-at-home-home-euthanasia-vets,(877) 219-4811,,http://www.PetLossAtHome.com,10,131,,,,,Salt Lake City,UT,84098,US,40.76077930,-111.89104740,,https://www.yelp.com/biz/pet-loss-at-home-home-euthanasia-vets-salt-lake-city,https://linkedin.com/company/helping-hands-pet-hospice,2024-05-03 18:42:45,2024-05-17 21:18:55
12,,0,East Valley Veterinary Clinic,east-valley-veterinary-clinic,(801) 467-0661,,https://www.eastvalleyveterinaryclinic.com,11,132,,,2675 Parleys Way,,Salt Lake City,UT,84109,US,40.71975180,-111.81516000,20 to 49,https://www.yelp.com/biz/east-valley-veterinary-clinic-salt-lake-city-2,https://linkedin.com/company/east-valley-veterinary-clinic,2024-05-03 18:42:45,2024-05-17 21:18:55
