id,user_id,title,slug,phone,phone_owner,website,screenshot_file_id,favicon_file_id,description,primary_image_url,address_line_1,address_line_2,city,state,postal_code,country,latitude,longitude,employees,yelp_url,created_at,updated_at
1,,Millcreek Veterinary Clinic,millcreek-veterinary-clinic,(801) 487-7791,(435) 649-0710,http://millcreekveterinaryclinic.com,1,,,,2361 E 3300th S,,Salt Lake City,UT,84109,US,40.70012520,-111.82306800,10 to 19,https://www.yelp.com/biz/millcreek-veterinary-clinic-salt-lake-city,2024-05-03 18:42:45,2024-05-03 21:39:25
2,,Petcare Animal Hospital,petcare-animal-hospital,(801) 302-9061,(801) 634-1971,http://www.petcareanimalhospitalutah.com,2,,,,1173 W S Jordan Pkwy,,South Jordan,UT,84095,US,40.56138840,-111.92633820,20 to 49,https://www.yelp.com/biz/petcare-animal-hospital-south-jordan,2024-05-03 18:42:45,2024-05-03 21:39:26
3,,The Travel Vet,the-travel-vet,(801) 989-4331,,http://www.thetravelvet.com,3,,,,,,Farmington,UT,84025,US,40.98049990,-111.88743920,,https://www.yelp.com/biz/the-travel-vet-farmington,2024-05-03 18:42:45,2024-05-03 21:39:26
4,,Town &amp; Country Veterinary Hospital,town-amp-country-veterinary-hospital,(801) 328-8543,(415) 857-0651,http://www.tcvh.com,4,,,,1220 S State St,,Salt Lake City,UT,84111,US,40.74229850,-111.88861580,5 to 9,https://www.yelp.com/biz/town-and-country-veterinary-hospital-salt-lake-city,2024-05-03 18:42:45,2024-05-03 21:39:28
5,,Neighborhood Veterinary Care,neighborhood-veterinary-care,(801) 281-8387,,https://www.nvetcare.com,5,,,,887 E Vine St,,Murray,UT,84107,US,40.65444350,-111.87087590,10 to 19,https://www.yelp.com/biz/neighborhood-veterinary-care-murray,2024-05-03 18:42:45,2024-05-03 21:39:30
6,,Lap of Love - The Wasatch Front,lap-of-love-the-wasatch-front,(801) 396-0368,,https://www.lapoflove.com,6,,,,,,Salt Lake City,UT,84101,US,,,,https://www.yelp.com/biz/lap-of-love-the-wasatch-front-salt-lake-city,2024-05-03 18:42:45,2024-05-03 21:39:32
7,,Major Street Pet Services,major-street-pet-services,(801) 487-2814,,http://www.majorstreetpetservices.com,7,,,,1727 Major St,,Salt Lake City,UT,84115,US,40.73286070,-111.88934950,,https://www.yelp.com/biz/major-street-pet-services-salt-lake-city,2024-05-03 18:42:45,2024-05-03 21:39:34
8,,University Veterinary Hospital &amp; Diagnostic Center,university-veterinary-hospital-amp-diagnostic-center,(801) 596-9005,,https://www.uvhdc.com,8,,,,952 E 900th S,,Salt Lake City,UT,84105,US,40.74956740,-111.86370950,20 to 49,https://www.yelp.com/biz/university-veterinary-hospital-and-diagnostic-center-salt-lake-city,2024-05-03 18:42:45,2024-05-03 21:39:36
9,,Holladay Veterinary Hospital,holladay-veterinary-hospital,(801) 272-5557,(801) 278-2859,https://www.holladayveterinaryhospital.com,9,,,,4732 S Highland Dr,,Salt Lake City,UT,84117,US,40.66710630,-111.84002060,20 to 49,https://www.yelp.com/biz/holladay-veterinary-hospital-salt-lake-city-2,2024-05-03 18:42:45,2024-05-03 21:39:38
10,,Pet Emergency Room,pet-emergency-room,(801) 278-3367,,,,,,,6360 Highland Dr,,Salt Lake City,UT,84121,US,40.63590010,-111.83502540,,https://www.yelp.com/biz/pet-emergency-room-salt-lake-city,2024-05-03 18:42:45,2024-05-03 18:43:02
11,,Pet Loss At Home - Home Euthanasia Vets,pet-loss-at-home-home-euthanasia-vets,(877) 219-4811,,http://www.PetLossAtHome.com,10,,,,,,Salt Lake City,UT,84098,US,40.76077930,-111.89104740,,https://www.yelp.com/biz/pet-loss-at-home-home-euthanasia-vets-salt-lake-city,2024-05-03 18:42:45,2024-05-03 21:39:40
12,,East Valley Veterinary Clinic,east-valley-veterinary-clinic,(801) 467-0661,,https://www.eastvalleyveterinaryclinic.com,11,,,,2675 Parleys Way,,Salt Lake City,UT,84109,US,40.71975180,-111.81516000,20 to 49,https://www.yelp.com/biz/east-valley-veterinary-clinic-salt-lake-city-2,2024-05-03 18:42:45,2024-05-03 21:39:42
13,,Olympus Cove Veterinary Clinic,olympus-cove-veterinary-clinic,(801) 485-6060,,http://www.olympuscovevet.com,12,,,,3243 E 3300th S,,Salt Lake City,UT,84109,US,40.70060950,-111.80357310,,https://www.yelp.com/biz/olympus-cove-veterinary-clinic-salt-lake-city,2024-05-03 18:42:45,2024-05-03 21:39:44
14,,Riverton Veterinary Hospital,riverton-veterinary-hospital,(801) 254-6621,,,,,,,2789 W 12600th S,,Riverton,UT,84065,US,40.52193080,-111.95954400,20 to 49,https://www.yelp.com/biz/riverton-veterinary-hospital-riverton,2024-05-03 18:42:45,2024-05-03 18:47:45
15,,Hillside Veterinary Hospital,hillside-veterinary-hospital,(801) 943-2154,,http://www.hillsidevet.com,13,,,,7054 S 2300th E,,Cottonwood Heights,UT,84121,US,40.62302120,-111.82524350,,https://www.yelp.com/biz/hillside-veterinary-hospital-cottonwood-heights-2,2024-05-03 18:42:45,2024-05-03 21:39:47
16,,Advanced Veterinary Care,advanced-veterinary-care,(801) 942-3951,(208) 346-2542,https://www.thrivepetcare.com,14,,,,1021 E 3300 S,,Millcreek,UT,84106,US,40.70021700,-111.86204330,1 to 4,https://www.yelp.com/biz/advanced-veterinary-care-millcreek,2024-05-03 18:42:45,2024-05-03 21:39:48
17,,Red Butte Veterinary Care,red-butte-veterinary-care,(801) 583-1340,,http://www.redbuttevet.com,15,,,,1340 S 2100th E,,Salt Lake City,UT,84108,US,40.74074160,-111.83107760,5 to 9,https://www.yelp.com/biz/red-butte-veterinary-care-salt-lake-city,2024-05-03 18:42:45,2024-05-03 21:39:49
18,,VCA Cottonwood Animal Hospital,vca-cottonwood-animal-hospital,(801) 278-0505,,https://vcahospitals.com,16,,,,6360 Highland Dr,,Salt Lake City,UT,84121,US,40.63590010,-111.83502540,,https://www.yelp.com/biz/vca-cottonwood-animal-hospital-salt-lake-city-3,2024-05-03 18:42:45,2024-05-03 21:39:51
